n "t (s)" "x (cm)" "y (cm)" "vx (cm/s)" "vy (cm/s)"
0 0.0 -14959787070000.0 0.0 0.0 -1489234.5914838465
1 252326.17059991948 -14940904127607.623 -375614684827.1366 149710.2704437602 -1487353.0288298712
2 504652.34119983896 -14884195588298.455 -750277529720.406 299894.58509023895 -1481680.8931458816
3 756978.5117997584 -14789481273805.176 -1123022754539.0337 451035.01497410284 -1472134.7822305853
4 1009304.6823996779 -14656457482569.209 -1492856156608.4595 603630.0028641728 -1458572.0755596843
5 1261630.8529995973 -14484691740588.023 -1858739503268.4873 758203.3664612247 -1440785.2234017602
6 1513957.0235995168 -14273615157513.746 -2219573130334.804 915314.3466248492 -1418493.1440350863
7 1766283.1941994363 -14022512067920.541 -2574175934766.7334 1075569.163158324 -1391329.0298579102
8 2018609.3647993559 -13730506507583.936 -2921261731742.949 1239634.6537699676 -1358823.5130097852
9 2270935.5353992754 -13396544910069.043 -3259410622162.1494 1408254.7344622219 -1320381.6384636343
10 2523261.7059991946 -13019374195289.758 -3587033537229.4995 1582270.6496473583 -1275251.3459993498
11 2775587.876599114 -12597514138956.068 -3902327413358.8564 1762646.3030435336 -1222480.0214702676
12 3027914.047199033 -12129222532452.87 -4203217374266.357 1950500.410233204 -1160853.8866994074
13 3280240.2177989525 -11612451129348.55 -4487280642820.512 2147147.8337915195 -1088812.109001934
14 3532566.3883988718 -11044789678784.678 -4751644304558.702 2354153.2959488216 -1004322.7183278834
15 3784892.558998791 -10423394410666.016 -4992844847323.095 2573401.7233549557 -904699.2135960347
16 4037218.7295987103 -9744896117269.914 -5206630418672.358 2807190.633515256 -786322.1909080053
17 4289544.90019863 -9005281507099.334 -5387674716928.46 3058350.609514334 -644203.5002915973
18 4541871.07079855 -8199740139063.226 -5529149881377.889 3330397.8668133165 -471278.7156025421
19 4794197.24139847 -7322469379370.805 -5622065318602.604 3627711.0566309877 -257208.74625417314
20 5046523.411998389 -6366436331729.857 -5654199421074.105 3955679.029429 13754.473883376137
21 5298849.582598309 -5323125295907.328 -5608282818744.498 4320604.289655019 366803.5166401932
22 5551175.753198229 -4182412106131.0483 -5458711282641.857 4728553.0753520755 844770.8890296228
23 5803501.9237981485 -2933138710475.5312 -5165133835220.912 5179972.596277755 1526227.8281506104
24 6055828.094398068 -1566767852542.516 -4658787602501.073 5646067.493981268 2569154.9423558516
25 6308154.264997988 -95258393400.36743 -3810801942318.6465 5954045.201881187 4319699.510432663
26 6560480.435597908 1355904525304.793 -2364065585050.622 5160554.658049135 7429803.881208356
27 6812806.6061978275 2130146379611.918 -35780640716.99756 75823.44997206796 10425133.31200821
28 7065132.776797747 1394302852484.8735 2291255238161.5234 -5104649.869488834 7388137.535748381
29 7317458.947397667 -54840551207.49536 3712839181614.115 -5980264.420935401 4151802.507839478
30 7569785.117997587 -1532346151946.735 4504232904328.642 -5659326.44954873 2294656.8300650595
31 7822111.2885975065 -2896801642359.4536 4931742001789.656 -5149276.153183363 1180732.9491744782
32 8074437.459197426 -4131835509607.921 5131777331790.349 -4645904.934895524 451912.9222091109
33 8326763.629797346 -5244968312923.429 5177877950848.843 -4184680.645559656 -58483.6738299313
34 8579089.800397266 -6247310746890.728 5113466841919.808 -3767040.8286783113 -434085.8292293295
35 8831415.970997185 -7149193940780.134 4966234656551.908 -3387312.179681422 -720685.2943416147
36 9083742.141597103 -7959367090800.3545 4754951240924.199 -3039094.0510118864 -945271.3154093794
37 9336068.312197022 -8685047960067.163 4492976977491.871 -2716739.193098764 -1124721.300387003
38 9588394.482796941 -9332151870393.703 4190211123423.919 -2415565.2128306534 -1270101.1326852408
39 9840720.65339686 -9905524153594.965 3854241383724.599 -2131746.0844917907 -1388946.2657825162
40 10093046.823996779 -10409135399545.035 3491058017177.5894 -1862146.5091710899 -1486544.519556137
41 10345372.994596697 -10846235976057.26 3105517342914.2017 -1604169.6860446427 -1566693.54070947
42 10597699.165196616 -11219475601421.773 2701654390743.194 -1355632.9286480378 -1632166.5630188335
43 10850025.335796535 -11530994956879.174 2282901301991.906 -1114669.6454375829 -1685008.435282185
44 11102351.506396454 -11782495361843.523 1852245068982.6309 -879652.5390027046 -1726728.662089307
45 11354677.676996373 -11975291195542.895 1412345368208.6157 -649132.8302789943 -1758429.45443376
46 11607003.847596291 -12110348538918.205 965625825578.5757 -421791.1553663979 -1780891.110652426
47 11859330.01819621 -12188312527591.129 514347649015.8218 -196396.672256133 -1794628.11284875
48 12111656.18879613 -12209525127254.383 60671914727.32446 28228.37542362651 -1799923.9857978404
49 12363982.359396048 -12174034415076.607 -393284780360.96655 253240.89680532168 -1796849.5825966496
50 12616308.529995967 -12081595921651.648 -845397454165.4899 479807.96101450577 -1785267.1239818018
51 12868634.700595886 -11931666109402.588 -1293479165654.7603 709138.4300100901 -1764820.4734406576
52 13120960.871195804 -11723387590355.898 -1735223137254.165 942517.1391765899 -1734910.3827703597
53 13373287.041795723 -11455565173841.326 -2168136415295.9666 1181343.797469748 -1694651.4272110853
54 13625613.212395642 -11126631233525.32 -2589459758787.632 1427179.2388751325 -1642804.6153437896
55 13877939.38299556 -10734598135470.873 -2996066446453.9927 1681802.3660602607 -1577675.5184376838
56 14130265.55359548 -10276994507136.477 -3384329352606.369 1947282.1182229412 -1496961.0258416994
57 14382591.724195398 -9750780882305.734 -3749940059106.868 2226070.030188785 -1397516.2797061822
58 14634917.894795317 -9152238697248.658 -4087654243287.5874 2521120.1142615397 -1274992.6170671368
59 14887244.065395236 -8476824880113.673 -4390920803672.2583 2836042.660745358 -1123258.4548998934
60 15139570.235995155 -7718983119085.043 -4651321437301.867 3175292.9578070906 -933438.4249283433
61 15391896.406595074 -6871905083563.669 -4857688280439.497 3544371.1537858797 -692246.5940489335
62 15644222.577194992 -5927249917071.135 -4994647077534.361 3949918.9642805685 -378936.39979996334
63 15896548.747794911 -4874891417484.094 -5040072646259.811 4399274.204249712 40649.60013450589
64 16148874.91839483 -3702993135805.643 -4960334046830.82 4897813.898682969 626601.6892971644
65 16401201.088994749 -2399624177420.9854 -4700665752304.377 5437233.640563962 1493631.9910260958
66 16653527.259594668 -961172293835.4141 -4163885667308.7793 5942516.273644653 2881525.5538862254
67 16905853.430194587 566212743473.4397 -3161437253146.0093 6000215.038937449 5305076.337632536
68 17158179.600794505 1873271787149.791 -1354373633427.773 3590191.6988273375 9125213.691641191
69 17410505.771394424 1958391980240.8396 1120062414026.5054 -3053182.0597035578 9377929.050188502
70 17662831.941994343 725592802903.0361 2991818709343.427 -5921908.138861385 5466812.867914854
71 17915158.11259426 -800568108145.437 4005716235090.661 -5975331.668126391 2820572.952356364
72 18167484.28319418 -2246150040065.4946 4507523261612.089 -5451446.6762291305 1289178.3619234068
73 18419810.4537941 -3546854368125.371 4703548661643.872 -4860034.0060444875 333440.9735855061
